name1 album1 singer1 
name2 album2 singer2 
name3 album3 singer3 
name4 album4 singer4 
name5 album5 singer5
name6 album6 singer6
name7 album7 singer7
name8 album8 singer8
name9 album9 singer9
name10 album10 singer10
name11 album11 singer11
name12 album12 singer12
name13 album13 singer13
name14 album14 singer14
name15 album15 singer15
name16 album16 singer16
name17 album17 singer17
name18 album18 singer18
name19 album19 singer19
name20 album20 singer20
name21 album21 singer21
name22 album22 singer22
name23 album23 singer23
name24 album24 singer24
name25 album25 singer25
name26 album26 singer26
name27 album27 singer27
name28 album28 singer28
name29 album29 singer29
name30 album30 singer30
song31 album31 singer31 
song32 album32 singer32 
song33 album33 singer33 
song34 album34 singer34 
song35 album35 singer35 
song36 album36 singer36 
song37 album37 singer37 
song38 album38 singer38 
song39 album39 singer39 
song40 album40 singer40 
song41 album41 singer41 
song42 album42 singer42 
song43 album43 singer43 
song44 album44 singer44 
song45 album45 singer45 
song46 album46 singer46 
song47 album47 singer47 
song48 album48 singer48 
song49 album49 singer49 
song50 album50 singer50 
song51 album51 singer51 
song52 album52 singer52 
song53 album53 singer53 
song54 album54 singer54 
song55 album55 singer55 
song56 album56 singer56 
song57 album57 singer57 
song58 album58 singer58 
song59 album59 singer59 
song60 album60 singer60 
song61 album61 singer61 
song62 album62 singer62 
song63 album63 singer63 
song64 album64 singer64 
song65 album65 singer65 
song66 album66 singer66 
song67 album67 singer67 
song68 album68 singer68 
song69 album69 singer69 
song70 album70 singer70 
song71 album71 singer71 
song72 album72 singer72 
song73 album73 singer73 
song74 album74 singer74 
song75 album75 singer75 
song76 album76 singer76 
song77 album77 singer77 
song78 album78 singer78 
song79 album79 singer79 
song80 album80 singer80 
song81 album81 singer81 
song82 album82 singer82 
song83 album83 singer83 
song84 album84 singer84 
song85 album85 singer85 
song86 album86 singer86 
song87 album87 singer87 
song88 album88 singer88 
song89 album89 singer89 
song90 album90 singer90 
song91 album91 singer91 
song92 album92 singer92 
song93 album93 singer93 
song94 album94 singer94 
song95 album95 singer95 
song96 album96 singer96 
song97 album97 singer97 
song98 album98 singer98 
song99 album99 singer99 
song100 album100 singer100 
